id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
1283294,5755202,Cuauhtemoc,Apartment,Entire home/apt,3,2038,3,1000,1,1,moderate,108,10
1286695,6998716,Miguel Hidalgo,Apartment,Entire home/apt,2,1245,5,1125,1,1,moderate,17,10
1288566,540705,Miguel Hidalgo,Apartment,Entire home/apt,2,4211,4,1125,1,1,flexible,35,10
1309198,7116734,Coyoacan,House,Private room,2,270,1,1125,1,1,strict_14_with_grace_period,1,10
1324525,7189850,Benito Juarez,Apartment,Private room,2,501,1,1125,1,1,moderate,3,10
1335688,7242746,Alvaro Obregon,House,Private room,4,589,1,60,2,3,flexible,45,10
1337735,6775211,Miguel Hidalgo,Apartment,Entire home/apt,4,2151,6,1125,2,2,moderate,44,10
1344188,7271395,Benito Juarez,Apartment,Private room,2,679,3,15,1,1,moderate,213,10
1363110,6409883,Benito Juarez,Apartment,Private room,2,475,3,1125,1,1,moderate,26,10
1378164,2492211,Benito Juarez,Apartment,Entire home/apt,2,249,3,1125,1,1,strict_14_with_grace_period,30,9
1380783,7477163,Miguel Hidalgo,Apartment,Private room,3,1924,2,30,1,2,moderate,116,10
1391370,2269083,Miguel Hidalgo,Apartment,Private room,1,226,2,1125,1,1,strict_14_with_grace_period,4,9
1397329,7007289,Benito Juarez,Apartment,Entire home/apt,2,657,3,1125,1,3,moderate,0,
1403168,7569372,Miguel Hidalgo,Apartment,Private room,2,702,2,1125,1,0,strict_14_with_grace_period,1,10
1403218,3777702,Cuauhtemoc,House,Private room,2,453,1,1125,1,1,strict_14_with_grace_period,157,10
1404363,5341352,Benito Juarez,Loft,Entire home/apt,2,996,3,365,0,1,moderate,104,10
1411454,7609684,Cuauhtemoc,Apartment,Entire home/apt,2,1404,3,1125,1,1,strict_14_with_grace_period,251,10
1428423,7681297,Benito Juarez,Apartment,Private room,2,1087,1,1125,1,1,flexible,0,
1429120,6203086,Benito Juarez,Apartment,Private room,1,294,2,1125,1,1,moderate,22,10
1441365,7738527,Cuauhtemoc,Apartment,Entire home/apt,4,1699,4,1125,2,2,strict_14_with_grace_period,77,10
1441434,7740056,Cuauhtemoc,Apartment,Entire home/apt,2,1902,2,250,1,1,moderate,205,10
1455119,3941419,Xochimilco,House,Private room,2,883,1,1125,1,1,flexible,0,
1462549,7838265,Miguel Hidalgo,Apartment,Entire home/apt,2,1494,7,1124,1,2,moderate,55,10
1476127,7900007,Benito Juarez,Apartment,Private room,2,589,2,60,1,1,moderate,156,10
1483498,7936694,Cuauhtemoc,Apartment,Entire home/apt,4,1245,2,364,2,2,strict_14_with_grace_period,190,10
1483664,6373011,Coyoacan,Condominium,Private room,2,1025,30,30,1,1,moderate,3,10
1511307,7473312,Cuauhtemoc,Loft,Entire home/apt,5,2581,2,60,1,4,moderate,289,9
1514815,8069764,Cuauhtemoc,Bed and breakfast,Private room,2,951,1,1125,1,1,flexible,13,9
1544767,4079778,Coyoacan,Loft,Entire home/apt,3,906,1,1125,1,2,strict_14_with_grace_period,2,9
1547284,5341352,Benito Juarez,Apartment,Entire home/apt,4,611,2,1125,2,3,moderate,42,10
1555819,8282570,Cuauhtemoc,Apartment,Entire home/apt,3,1653,3,1125,1,1,strict_14_with_grace_period,241,10
1565220,2518152,Alvaro Obregon,Boutique hotel,Hotel room,2,2989,1,90,1,1,moderate,23,10
1571327,8355403,Benito Juarez,Apartment,Private room,2,566,2,1125,1,1,flexible,7,10
1589621,7294169,Cuauhtemoc,Apartment,Private room,2,408,2,1125,1,1,strict_14_with_grace_period,100,10
1599474,8098515,Miguel Hidalgo,Apartment,Private room,2,1094,1,365,1,1,strict_14_with_grace_period,21,9
1627630,8282570,Cuauhtemoc,Apartment,Entire home/apt,3,1653,3,1125,1,2,strict_14_with_grace_period,224,10
1644188,8714971,Miguel Hidalgo,Apartment,Entire home/apt,3,2143,5,30,2,2,strict_14_with_grace_period,11,10
1662282,4378849,Cuauhtemoc,Apartment,Entire home/apt,4,1804,10,1125,2,0,strict_14_with_grace_period,48,10
1664823,8818735,Benito Juarez,Apartment,Entire home/apt,4,906,2,40,2,3,flexible,78,10
1676923,1971675,Cuauhtemoc,Loft,Entire home/apt,3,2219,1,1125,1,2,strict_14_with_grace_period,189,10
1689161,8879557,Cuauhtemoc,Apartment,Entire home/apt,3,1714,3,1125,1,1,moderate,103,10
1727725,2518152,Alvaro Obregon,Bed and breakfast,Private room,2,2598,1,90,1,1,moderate,31,10
1736063,2518152,Alvaro Obregon,Boutique hotel,Hotel room,2,2196,1,90,1,1,moderate,34,10
1751062,8155176,Azcapotzalco,House,Private room,1,342,2,30,1,1,flexible,0,
1768385,1004821,Cuauhtemoc,Condominium,Entire home/apt,6,1472,1,90,2,3,flexible,168,10
1780789,4523316,Cuauhtemoc,Apartment,Private room,2,725,3,1125,1,1,moderate,16,10
1826212,9556116,Benito Juarez,Apartment,Entire home/apt,4,589,3,1125,2,3,flexible,89,10
1839523,9614284,Venustiano Carranza,Apartment,Private room,2,14992,1,1125,1,1,flexible,0,
1850394,9664207,Cuauhtemoc,Apartment,Entire home/apt,6,2151,2,60,2,3,moderate,250,10
1877286,5755202,Cuauhtemoc,Apartment,Entire home/apt,2,2378,3,1125,1,1,moderate,83,9
1890998,3320356,Cuauhtemoc,Apartment,Entire home/apt,2,2219,3,180,1,1,strict_14_with_grace_period,244,10
1901884,1914525,Benito Juarez,Apartment,Private room,2,521,1,15,1,1,flexible,35,10
1905663,9891484,Cuauhtemoc,House,Entire home/apt,3,1132,1,1125,2,2,flexible,1,10
1906586,8069764,Cuauhtemoc,Bed and breakfast,Private room,2,1155,1,1125,1,1,flexible,3,10
1915601,8355403,Benito Juarez,Apartment,Private room,4,684,2,1125,1,2,strict_14_with_grace_period,6,10
1919273,9949877,Cuauhtemoc,Apartment,Private room,2,408,2,180,1,1,moderate,73,10
1919310,9949877,Cuauhtemoc,Apartment,Private room,2,385,2,1125,1,1,moderate,140,10
1919438,3494399,Cuauhtemoc,Loft,Entire home/apt,4,2151,3,365,1,2,strict_14_with_grace_period,185,10
1920070,9953466,Tlalpan,House,Private room,1,448,1,1125,1,2,moderate,3,10
1925256,2518152,Alvaro Obregon,Boutique hotel,Private room,2,2196,1,90,1,1,moderate,36,10
1945351,340030,Tlalpan,House,Private room,2,672,3,1125,1,1,flexible,2,10
1949644,10081994,Cuauhtemoc,Apartment,Entire home/apt,4,1109,2,90,2,2,flexible,62,10
1949769,8355403,Benito Juarez,Apartment,Entire home/apt,6,1811,1,1125,2,3,flexible,9,9
1967028,3440521,Cuauhtemoc,Apartment,Entire home/apt,3,1398,3,50,2,3,moderate,7,10
1988412,10128524,Benito Juarez,Apartment,Entire home/apt,2,1019,365,365,2,2,moderate,23,10
1999474,10300365,Cuauhtemoc,Apartment,Entire home/apt,4,2197,4,45,2,2,strict_14_with_grace_period,56,10
2004302,2566629,Miguel Hidalgo,Apartment,Entire home/apt,5,4511,15,1125,2,2,strict_14_with_grace_period,0,
2007564,9155234,Miguel Hidalgo,Loft,Entire home/apt,4,679,3,600,0,2,strict_14_with_grace_period,87,10
2015276,5974590,Miguel Hidalgo,Apartment,Entire home/apt,4,2940,1,365,1,1,strict_14_with_grace_period,54,9
2030859,790208,Miguel Hidalgo,House,Private room,6,996,2,365,2,5,strict_14_with_grace_period,50,10
2032342,10433685,Cuauhtemoc,House,Entire home/apt,6,974,4,90,3,3,moderate,28,10
2045772,1996741,Cuauhtemoc,Apartment,Entire home/apt,2,883,3,1125,1,2,strict_14_with_grace_period,12,9
2046159,7682248,Cuauhtemoc,House,Private room,3,638,3,90,1,2,strict_14_with_grace_period,32,9
2056514,10531228,Coyoacan,Apartment,Entire home/apt,4,1177,2,1125,1,2,flexible,34,10
2056622,10531228,Coyoacan,Loft,Entire home/apt,3,1562,2,1125,1,2,moderate,13,10
2056638,10531228,Coyoacan,Loft,Entire home/apt,3,1789,1,1125,1,1,moderate,21,9
2072354,10592410,Coyoacan,Guest suite,Entire home/apt,2,679,3,1125,1,1,moderate,60,10
2075738,2339771,Cuauhtemoc,Apartment,Entire home/apt,2,3397,2,10,1,1,strict_14_with_grace_period,44,10
2083241,8282570,Cuauhtemoc,Apartment,Entire home/apt,3,1608,3,1125,1,2,strict_14_with_grace_period,191,10
2084093,10644799,Venustiano Carranza,Loft,Entire home/apt,4,495,1,1125,1,2,flexible,532,9
2088218,10659485,Coyoacan,House,Private room,1,385,2,1125,1,1,flexible,5,10
2093036,3083561,Miguel Hidalgo,Apartment,Private room,2,2196,1,1125,1,2,strict_14_with_grace_period,0,
2094427,3675629,Miguel Hidalgo,Apartment,Entire home/apt,2,1653,3,120,1,1,flexible,63,10
2102817,2534084,Benito Juarez,House,Shared room,8,5096,3,15,1,6,flexible,0,
2103827,1811779,Miguel Hidalgo,Apartment,Entire home/apt,10,1992,1,60,3,6,flexible,3,7
2112138,10592410,Coyoacan,Guest suite,Entire home/apt,3,792,3,1125,1,2,moderate,37,9
2117709,4079778,Coyoacan,Loft,Entire home/apt,2,611,1,1125,1,1,flexible,8,10
2118573,10802698,Benito Juarez,Apartment,Entire home/apt,6,1585,2,180,3,4,strict_14_with_grace_period,164,10
2127400,350668,Cuauhtemoc,Townhouse,Private room,2,1925,2,7,1,0,moderate,155,10
2130176,1326107,Cuauhtemoc,Apartment,Entire home/apt,4,1060,5,1125,2,2,strict_14_with_grace_period,36,10
2139830,10897361,Coyoacan,Apartment,Entire home/apt,4,1132,4,1125,2,2,flexible,0,
2141665,4425585,Miguel Hidalgo,Apartment,Entire home/apt,2,654,7,180,1,1,moderate,85,9
2165745,5324891,Coyoacan,Apartment,Private room,2,634,1,1125,1,1,flexible,1,10
2166030,5324891,Coyoacan,Apartment,Private room,1,543,1,1125,1,1,flexible,3,9
